case,site,irrigation_mm,decision_date,horizon_days,nprintday,profile_sample_count,water_input_7d_mm,aet_7d_mm,runoff_7d_mm,root_drainage_7d_mm,root_boundary_signed_integral_mm,root_boundary_outflow_7d_mm,direct_component_outflow_7d_mm,predecision_root_depth_cm,final_root_depth_cm,root_depth_change_cm,predecision_rootzone_storage_mm,final_rootzone_storage_mm,delta_rootzone_storage_7d_mm,moving_root_boundary_term_7d_mm,balance_derived_outflow_without_moving_7d_mm,balance_derived_outflow_with_moving_7d_mm,water_balance_residual_without_moving_7d_mm,water_balance_residual_corrected_7d_mm,max_abs_root_boundary_depth_error_cm
code_C2_20240716_ir30_npd1,code_C2,30.0,2024-07-16,7,1,8,30.0,35.034,0.0,0.0,-17.1285,17.1285,17.1285,100.0,100.0,0.0,178.85999999999996,148.14000000000001,-30.719999999999942,0.0,25.685999999999943,25.685999999999943,8.557499999999944,8.557499999999944,0.0
code_C2_20240716_ir30_npd4,code_C2,30.0,2024-07-16,7,4,29,30.0,34.9978,0.0,0.0,-25.3047025,25.3047025,25.3047025,100.0,100.0,0.0,178.85999999999996,149.85000000000002,-29.009999999999934,0.0,24.012199999999936,24.012199999999936,-1.2925025000000652,-1.2925025000000652,0.0
code_C2_20240716_ir30_npd24,code_C2,30.0,2024-07-16,7,24,169,30.0,34.9739,0.0,0.0,-23.71160125000001,23.71160125000001,23.71160125000001,100.0,100.0,0.0,178.85999999999996,150.33,-28.529999999999944,0.0,23.556099999999944,23.556099999999944,-0.15550125000006787,-0.15550125000006787,0.0
code_C2_20240716_ir60_npd1,code_C2,60.0,2024-07-16,7,1,8,60.0,35.1003,0.0,0.0,-50.721500000000006,50.721500000000006,50.721500000000006,100.0,100.0,0.0,178.85999999999996,149.55,-29.309999999999945,0.0,54.20969999999995,54.20969999999995,3.4881999999999422,3.4881999999999422,0.0
code_C2_20240716_ir60_npd4,code_C2,60.0,2024-07-16,7,4,29,60.0,35.088,0.0,0.0,-48.91462749999998,48.91462749999998,48.91462749999998,100.0,100.0,0.0,178.85999999999996,151.10000000000002,-27.759999999999934,0.0,52.67199999999993,52.67199999999993,3.7573724999999527,3.7573724999999527,0.0
code_C2_20240716_ir60_npd24,code_C2,60.0,2024-07-16,7,24,169,60.0,34.9988,0.0,0.0,-53.41050833333334,53.41050833333334,53.41050833333334,100.0,100.0,0.0,178.85999999999996,150.59000000000003,-28.269999999999925,0.0,53.27119999999992,53.27119999999992,-0.13930833333341752,-0.13930833333341752,0.0
code_N2_20240515_ir30_npd1,code_N2,30.0,2024-05-15,7,1,8,42.699999999999996,24.240499999999997,0.0,0.0,-72.332,72.332,72.332,69.0,84.0,15.0,267.53,280.34,12.810000000000002,55.349999999999994,5.649499999999996,60.99949999999998,-66.6825,-11.33250000000001,0.0
code_N2_20240515_ir30_npd4,code_N2,30.0,2024-05-15,7,4,29,42.699999999999996,24.575999999999997,0.0,0.0,-62.591750000000005,62.591750000000005,62.591750000000005,69.0,85.0,16.0,267.53,285.65,18.120000000000005,58.655,0.00399999999999423,58.65899999999999,-62.587750000000014,-3.932750000000013,0.0
code_N2_20240515_ir30_npd24,code_N2,30.0,2024-05-15,7,24,169,42.699600000000004,24.6022,0.0,0.0,-59.38381249999999,59.38381249999999,59.38381249999999,69.0,85.0,16.0,267.53,284.56999999999994,17.039999999999964,58.425,1.0574000000000403,59.48240000000004,-58.32641249999995,0.09858750000005045,0.0
