id,record_type,original_path,current_path,status,purpose,category,document_type,replaced_by,related_script_ids,formal_reference,runnable,source_sha256,current_sha256
first-step-reproduction-notes-2026-05-29,document,first_step_reproduction_notes_2026-05-29.md,docs/research/reproduction/first_step_reproduction_notes_2026-05-29.md,historical,first step reproduction notes 2026-05-29,,reproduction_notes,,,false,false,d57215cb539fb4e7581c246a5a87fe657b6e80c3fd41f46e7d0e85bfd8b809fa,d57215cb539fb4e7581c246a5a87fe657b6e80c3fd41f46e7d0e85bfd8b809fa
fixed-0-100cm-5site-smoke-server-run-20260715,document,fixed_0_100cm_5site_smoke_server_run_20260715.md,docs/operations/server/fixed_0_100cm_5site_smoke_server_run_20260715.md,formal,fixed 0 100cm 5site smoke server run 20260715,,server_guide,,confirmed-5site-smoke,true,false,1a88446db01316ffeede72c5db06b92b0aba23b6386b81232183fd31d22afd28,1a88446db01316ffeede72c5db06b92b0aba23b6386b81232183fd31d22afd28
formal-npd24-5site-smoke-server-run-20260714,document,formal_npd24_5site_smoke_server_run_20260714.md,docs/operations/server/formal_npd24_5site_smoke_server_run_20260714.md,formal,formal npd24 5site smoke server run 20260714,,server_guide,,"confirmed-5site-smoke,rootzone-frequency",true,false,a2e6b1f1316c8baac5f516b84c5bb602847d6dc4e133795d0b78e60157ea50f2,a2e6b1f1316c8baac5f516b84c5bb602847d6dc4e133795d0b78e60157ea50f2
gefs-gridmet-bias-validation-server-run-20260715,document,gefs_gridmet_bias_validation_server_run_20260715.md,docs/operations/server/gefs_gridmet_bias_validation_server_run_20260715.md,formal,gefs gridmet bias validation server run 20260715,,server_guide,,gefs-gridmet-bias,true,false,7356168467f7edfe9f162c6bd4368a751fc63c5b254488f19bddb33715b4b3d1,7356168467f7edfe9f162c6bd4368a751fc63c5b254488f19bddb33715b4b3d1
instructions,document,Instructions.txt,docs/archive/historical_notes/Instructions.txt,historical,Instructions,,historical_notes,,,false,false,7b03c211b6a5677a022d93c134938237f115efa5ae5dfc2c5143c8f8726f79e0,7b03c211b6a5677a022d93c134938237f115efa5ae5dfc2c5143c8f8726f79e0
paper-keyword-snippets,document,paper_keyword_snippets.txt,docs/archive/paper_extracts/paper_keyword_snippets.txt,local_reference,paper keyword snippets,,paper_extract,,,false,false,20afae944e5a3dded9fdf53b66af3c491fffc643344879d731e79e721c0c049d,20afae944e5a3dded9fdf53b66af3c491fffc643344879d731e79e721c0c049d
paper-text-2026ems,document,paper_text_2026ems.txt,docs/archive/paper_extracts/paper_text_2026ems.txt,local_reference,paper text 2026ems,,paper_extract,,,false,false,f91ec106fccd2fb45a45c6e2916c274bd34d662c1442b7158ae1783aee0633ae,f91ec106fccd2fb45a45c6e2916c274bd34d662c1442b7158ae1783aee0633ae
requirements-gefs-gridmet-bias-validation-v1,document,requirements_gefs_gridmet_bias_validation_v1.txt,requirements/requirements_gefs_gridmet_bias_validation_v1.txt,active,requirements gefs gridmet bias validation v1,,requirements,,gefs-gridmet-bias,false,false,70d902d1d72bc9cb14b071f20e4fa91648313b30b90cd15ddacc0c00ca62118a,70d902d1d72bc9cb14b071f20e4fa91648313b30b90cd15ddacc0c00ca62118a
server-restart-smoke-notes-2026-05-30,document,server_restart_smoke_notes_2026-05-30.md,docs/archive/historical_notes/server_restart_smoke_notes_2026-05-30.md,historical,server restart smoke notes 2026-05-30,,historical_notes,,,false,false,da557f6f110cfd24f9cfe7920920a9e308f434ad8e70c2e775de21c9dec0042d,da557f6f110cfd24f9cfe7920920a9e308f434ad8e70c2e775de21c9dec0042d
