site,decision_date,local_date,lead_day,reference_value,ensemble_mean,bias_mm,ensemble_p10,ensemble_median,ensemble_p90,ensemble_min,ensemble_max,ensemble_std,crps,covered_by_p10_p90,covered_by_min_max,prob_ge_1mm,prob_ge_5mm,prob_ge_10mm,prob_ge_20mm
P2,2024-07-28,2024-07-31,4,30.3,3.904408602150537,-26.395591397849465,0.0,0.13,7.500000000000001,0.0,38.5,8.708991702729172,23.70370100589663,False,True,0.3548387096774194,0.1935483870967742,0.0967741935483871,0.06451612903225806
P2,2024-08-13,2024-08-15,3,29.0,23.018279569892474,-5.981720430107526,7.066666666666667,20.3,45.2,4.866666666666667,60.13333333333334,15.051752630679724,5.6039889004509185,True,True,1.0,0.967741935483871,0.7419354838709677,0.5483870967741935
P2,2024-08-21,2024-08-27,7,25.4,1.1613978494623658,-24.238602150537634,0.0,0.0,2.3,0.0,12.433333333333334,2.8859897358955213,23.234793617759273,False,False,0.22580645161290322,0.0967741935483871,0.03225806451612903,0.0
P3,2024-08-05,2024-08-07,3,26.5,4.735161290322581,-21.76483870967742,0.3,3.853333333333333,10.066666666666668,0.0,15.2,4.402953948045458,19.35690253208463,False,False,0.7096774193548387,0.45161290322580644,0.12903225806451613,0.0
P3,2024-08-13,2024-08-14,2,34.4,18.17064516129032,-16.22935483870968,0.9000000000000001,15.4,36.96666666666667,0.11,53.00000000000001,15.081321933715055,10.89652098508498,True,True,0.8709677419354839,0.6774193548387096,0.6451612903225806,0.3548387096774194
P4,2024-07-28,2024-07-28,1,36.2,2.1492473118279576,-34.05075268817205,0.0,0.3,4.866666666666667,0.0,23.333333333333336,4.65852505691039,32.351009365244536,False,False,0.3870967741935484,0.0967741935483871,0.06451612903225806,0.03225806451612903
P4,2024-08-13,2024-08-14,2,31.700000000000003,12.25236559139785,-19.447634408602152,3.4000000000000004,11.733333333333334,22.06666666666667,1.31,24.53333333333333,6.534543128802903,15.722396808879644,False,False,1.0,0.8709677419354839,0.5806451612903226,0.16129032258064516
